CLIENTE;NRO. VA01/VA21;POS VA01/VA21;CLASE DE DOC;REF.CLIENTE;DOC. REF;PRIORIDAD;MOT. RECHAZO;INDICADOR DE BLOQUEO;FECHA DE BLOQUEO;OPERADOR DE VA;CODIGO ITEM;DESCRIPCION ITEM;CANTIDAD SOLICITADA;TIPO DE ITEM;ESTADO ITEM;CENTRO;PLAZO LOGISTICO;FECHA DE EMISION NECESIDAD;FECHA ENTREGA ESPERADA;NRO. SOLPED;POS. SOLPED;REPARTOS;FECHA EMISION SOLPED;FECHA APROBACION SOLPED;GRUPO DE COMPRA;NRO. OC;POS. OC;ALMACEN OC;Q CANT. OC;OPERADOR OC;FECHA EMISION OC;FECHA APROBACION FINAL OC;PRIMERA FECHA ENTREGA OC;FECHA ENTREGA OC;GRUPO DE COMPRA OC;PROVEEDOR;ADJUDICADO EN OC;CANTIDAD PENDIENTE DE ADJUDICAR;CANTIDAD TOTAL PENDIENTE RECEP.;CANTIDAD TOTAL RECEPCIONADA;NRO. RECEPCION;FECHA RECEPCION;ALMACEN RECEPCION 1;NRO POSICION RECEPCION 1;Q RECEP. DE OC;FECHA SELLO;OPERADOR RECEPCION;TEXTO COMENTARIO;NRO. VL;CANTIDAD PICKING;Q VL;OPERADOR PICKING;FECHA PICKING;FECHA CONTABILIZACION VL;NRO DE CARGA;TXT CARGA;RESPONSABLE DE CARGA;FECHA DE CARGA;NRO. ALMACENAMIENTO;CANTIDAD ALMACENADA;OPERADOR ALMACENAMIENTO;FECHA ALMACENAMIENTO (LOGIN);FECHA DE ALMACENAMIENTO SELLO;FECHA CUMPLIMIENTO FINAL UNIFICADA;NRO. CONSUMO;CANT. CONSUMO;FECHA CONSUMO;LIBERACION SOLPED;COLOCACION OC;LIBERACIÓN OC;PLAZO ENTREGA EXCEDIDO;ENTREGA DEL PROVEEDOR;REGISTRO DE RECEPCION;PICKING;EMBALAJE;EXPEDICIÓN;TRASLADO;ENTREGA AL CLIENTE;DIAS DE DEMORA;NUMERO DE RESERVA
00365 RIO TINTO;1000066576;220;ZPAN;REPO STOCK;;2;;;;CSOSA;1018497;FILTRO COMBUSTIBLE;3,000;Materiales Stock S/Devol;ADJUDICADO;U365;1;10/5/2025;31/5/2025;10121141;220;1;10/5/2025;10/5/2025;AGV;4500100392;220;4401;1;ILAHORGUE;30/5/2025;30/5/2025;09/06/2025;9/6/2025;AGV;IGARRETA MAQUINAS S.A.;3,000;0,000;3,000;0,000;;;;0;0;;;;;0,000;0;;;;;;;;;0,000;;;;;;0,000;;0;20;0;29;0;0;0;0;0;0;0;0;0
00365 RIO TINTO;1000066582;180;ZPAN;REPO STOCK;;2;;;;CSOSA;1025998;FILTRO HIDRAULICO;1,000;Materiales Stock S/Devol;ADJUDICADO;U365;1;11/5/2025;31/5/2025;10121146;180;1;11/5/2025;2/6/2025;AGV;4500105850;260;4401;1;ILAHORGUE;12/8/2025;12/8/2025;30/08/2025;30/8/2025;AGV;BRAMAQ SRL;1,000;0,000;1,000;0,000;;;;0;0;;;;;0,000;0;;;;;;;;;0,000;;;;;;0,000;;22;71;0;111;0;0;0;0;0;0;0;0;0
00365 RIO TINTO;1000066582;310;ZPAN;REPO STOCK;;2;;;;CSOSA;1033373;FILTRO HIDRAULICO (SUCCION);1,000;Materiales Stock S/Devol;ADJUDICADO;U365;1;11/5/2025;6/6/2025;10121146;310;1;11/5/2025;2/6/2025;AGV;4500100495;310;4401;1;ILAHORGUE;2/6/2025;2/6/2025;15/07/2025;15/7/2025;AGV;GRUAS SAN BLAS S.A;1,000;0,000;1,000;0,000;;;;0;0;;;;;0,000;0;;;;;;;;;0,000;;;;;;0,000;;22;0;0;59;0;0;0;0;0;0;0;0;0
00365 RIO TINTO;1000066583;220;ZPAN;REPO STOCK;;2;;;;CSOSA;1002996;FILTRO RESP DE TANQUE;1,000;Materiales Stock;ADJUDICADO;U365;20;11/5/2025;31/5/2025;10121147;220;1;11/5/2025;12/5/2025;C29;4500099476;20;UT08;1;RPEREZ;19/5/2025;19/5/2025;31/05/2025;25/8/2025;C29;HAULOTTE ARGENTINA S.A.;1,000;0,000;1,000;0,000;;;;0;0;;;;;0,000;0;;;;;;;;;0,000;;;;;;0,000;;1;7;0;20;0;0;0;0;0;0;0;0;0
00365 RIO TINTO;1000066583;230;ZPAN;REPO STOCK;;2;;;;CSOSA;1002997;FILTRO CABINA INTERIOR;1,000;Materiales Stock;ADJUDICADO;U365;20;11/5/2025;31/5/2025;10121147;230;1;11/5/2025;12/5/2025;C29;4500099476;10;UT08;1;RPEREZ;19/5/2025;19/5/2025;31/05/2025;25/8/2025;C29;HAULOTTE ARGENTINA S.A.;1,000;0,000;1,000;0,000;;;;0;0;;;;;0,000;0;;;;;;;;;0,000;;;;;;0,000;;1;7;0;20;0;0;0;0;0;0;0;0;0
00365 RIO TINTO;1000066584;70;ZPAN;REPO STOCK;;0;;;;CSOSA;1018914;FILTRO DEL RESPIRADERO;1,000;Materiales Stock S/Devol;ADJUDICADO;U365;1;11/5/2025;31/5/2025;10121148;70;1;11/5/2025;11/5/2025;AGV;4500100720;70;4401;1;ILAHORGUE;4/6/2025;4/6/2025;13/06/2025;13/6/2025;AGV;GRUAS SAN BLAS S.A;1,000;0,000;1,000;0,000;;;;0;2;;;;;0,000;0;;;;;;;;;0,000;;;;;;0,000;;0;24;0;33;0;0;0;0;0;0;0;0;0
00365 RIO TINTO;1000067763;80;ZPAN;REPO MM - FILTROS;;0;;;;NGONCALVEZ;1025998;FILTRO HIDRAULICO;1,000;Materiales Stock S/Devol;ADJUDICADO;U365;1;29/5/2025;16/6/2025;10122678;80;1;29/5/2025;2/6/2025;AGV;4500105850;80;4401;1;ILAHORGUE;12/8/2025;12/8/2025;30/08/2025;30/8/2025;AGV;BRAMAQ SRL;1,000;0,000;1,000;0,000;;;;0;0;;;;;0,000;0;;;;;;;;;0,000;;;;;;0,000;;4;71;0;95;0;0;0;0;0;0;0;0;0
00365 RIO TINTO;1000068059;70;ZPAN;PED INICIAL EQ AGV M;;0;;;;NGONCALVEZ;1002592;FILTRO ACEITE MOTOR XUN;2,000;Materiales Stock;ADJUDICADO;U365;1;3/6/2025;21/6/2025;10123084;70;1;3/6/2025;6/6/2025;C29;4500101154;350;4401;1;RPEREZ;10/6/2025;18/6/2025;22/06/2025;22/6/2025;C29;SERVICIOS VIALES DE STA. FE SA;2,000;0,000;2,000;0,000;;;;0;0;;;;;0,000;0;;;;;;;;;0,000;;;;;;0,000;;3;4;8;21;0;0;0;0;0;0;0;0;0
00365 RIO TINTO;1000068174;400;ZPAN;REP STOCK 365;;0;;;;EJUAREZ;1027160;TUERCA DE CHCHILLA;46,000;Materiales Stock S/Devol;RECEPCIONADO;U365;20;5/6/2025;19/6/2025;10123257;400;1;5/6/2025;6/6/2025;C29;4500101179;20;UT08;1;WVENTURINI;10/6/2025;10/6/2025;19/06/2025;30/8/2025;C29;FERNANDEZ INSUA S.A.;46,000;0,000;0,000;46,000;5000146593;23/9/2025;UT08;1;3;23/9/2025;WVENTURINI;;;0,000;0;;;;;;;;;0,000;;;;;;0,000;;1;4;0;20;96;0;0;0;0;0;0;0;0
00365 RIO TINTO;1000068243;10;ZPAN;REP STOCK 365;;0;;;;EJUAREZ;1002592;FILTRO ACEITE MOTOR XUN;3,000;Materiales Stock;CUMPLIDO PARCIAL;U365;1;6/6/2025;20/6/2025;10123394;10;1;6/6/2025;9/6/2025;C29;4500101154;310;4401;1;RPEREZ;10/6/2025;18/6/2025;22/06/2025;22/6/2025;C29;SERVICIOS VIALES DE STA. FE SA;3,000;0,000;1,000;2,000;5000137068;30/6/2025;;0;1;30/6/2025;JBASSANI;;;0,000;0;;;;;;;;;0,000;;;;30/6/2025;;0,000;;3;1;8;22;8;0;0;0;0;0;0;10;0
