CLIENTE;NRO. VA01/VA21;POS VA01/VA21;CLASE DE DOC;REF.CLIENTE;DOC. REF;PRIORIDAD;MOT. RECHAZO;INDICADOR DE BLOQUEO;FECHA DE BLOQUEO;OPERADOR DE VA;CODIGO ITEM;DESCRIPCION ITEM;CANTIDAD SOLICITADA;TIPO DE ITEM;ESTADO ITEM;CENTRO;PLAZO LOGISTICO;FECHA DE EMISION NECESIDAD;FECHA ENTREGA ESPERADA;MES ENTREGA;NRO. SOLPED;POS. SOLPED;REPARTOS;FECHA EMISION SOLPED;FECHA APROBACION SOLPED;GRUPO DE COMPRA;NRO. OC;POS. OC;ALMACEN OC;Q CANT. OC;OPERADOR OC;FECHA EMISION OC;FECHA APROBACION FINAL OC;PRIMERA FECHA ENTREGA OC;FECHA ENTREGA OC;GRUPO DE COMPRA OC;PROVEEDOR;ADJUDICADO EN OC;CANTIDAD PENDIENTE DE ADJUDICAR;CANTITAD TOTAL PENDIENTE RECEP.;CANTIDAD TOTAL RECEPCIONADA;NRO. RECEPCION;FECHA RECEPCION;ALMACEN RECEPCION 1;NRO POSICION RECEPCION 1;Q RECEP. DE OC;FECHA SELLO;OPERADOR RECEPCION;TEXTO COMENTARIO;NRO. VL;CANTIDAD PICKING;Q VL;OPERADOR PICKING;FECHA PICKING;FECHA CONTABILIZACION VL;NRO DE CARGA;TXT CARGA;RESPONSABLE DE CARGA;FECHA DE CARGA;NRO. ALMACENAMIENTO;CANTIDAD ALMACENADA;OPERADOR ALMACENAMIENTO;FECHA ALMACENAMIENTO (LOGIN);FECHA DE ALMACENAMIENTO SELLO;FECHA CUMPLIMIENTO FINAL UNIFICADA;COMPROMETIDOS;ENTREGADOS;NO ENTREGADOS;NO ENTREGADOS CRITICOS;NO ENTREGADOS NO CRITICOS;ENTREGADOS AT;ENTREGADOS AT CRITICOS;ENTREGADOS AT NO CRITICOS;ENTREGADOS FT;ENTREGADOS FT CRITICOS;ENTREGADOS FT NO CRITICOS;DIAS DE DEMORA;CLASIFICACION;Año;Personalizado;Valor objetivo cumpli;Demora Max Objetivo;Demora-7;DemoraMaxObjetivo;CLASIFICACION 2;Columna1;Columna2;CONCATENA;BUSCA EL ALMACEN ;Vacío
00223 Comp Amb Santa Fe;1000058541;50;ZPAN;Pañol;;0;;;;PBASILIO;1011833;PROTECTOR SOLAR CREMA FACTOR 70;30;Materiales usuales;CUMPLIDO;MR01;11;9/12/2024;7/1/2025;enero;10111163;50;1;9/12/2024;23/12/2024;C28;4500090287;10;2001;1;GJULIANI;26/12/2024;26/12/2024;3/1/2025;3/1/2025;C28;CESCHIN GABRIELA ROSANA;30;0;0;30;5000120860;2/1/2025;2001;1;1;2/1/2025;FGORGONA;;8000062253;30;1;FGORGONA;2/1/2025;7/1/2025;8257;1 PM 223;PMATTIUSSI;3/1/2025;4900290847;30;PBASILIO;8/1/2025;8/1/2025;8/1/2025;1;1;0;0;0;0;0;0;1;0;1;1;SEDE;2025;Período Contable;0,75;7;-6;7;SEDE;#N/D;#N/D;1011833223;223;
00223 Comp Amb Santa Fe;1000059151;10;ZPAN;Caudalimetro TQ Comb;;0;;;;PBASILIO;1012893;CAUDALIMETRO TANQUE DE COMBUSTIBLE;1;Materiales genericos;CUMPLIDO;MR01;11;19/12/2024;10/1/2025;enero;10111832;10;1;19/12/2024;23/12/2024;C27;4500091164;10;2001;1;AESCUDERO;13/1/2025;13/1/2025;20/1/2025;31/1/2025;C27;GIMENEZ JUAN CRUZ;1;0;0;1;5000125259;19/2/2025;2001;1;1;19/2/2025;FGORGONA;;8000065067;1;1;FGORGONA;19/2/2025;24/2/2025;8893;BULTO 223 WP;WPUCHETA;19/2/2025;4900306854;1;PBASILIO;5/3/2025;26/2/2025;26/2/2025;1;1;0;0;0;0;0;0;1;0;1;47;SEDE;2025;Período Contable;0,75;7;40;7;SEDE;#N/D;#N/D;1012893223;223;
00223 Comp Amb Santa Fe;1000059234;10;ZPAS;Pedido bombas reutil;;0;;;;PBASILIO;1032227;BOMBA SUMERGIBLE SM PRO 1000M MOTORARG;1;Material No Valorado;CUMPLIDO;MR01;11;20/12/2024;13/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;1;0;;;;8000061939;1;1;PAPPELLA;20/12/2024;30/12/2024;8133;2 bultos-Jorge Aimi-223;FDEICAS;20/12/2024;4900289859;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;#N/D;#N/D;1032227223;223;
00223 Comp Amb Santa Fe;1000059234;20;ZPAS;Pedido bombas reutil;;0;;;;PBASILIO;1032228;BOMBA SUMERGIBLE D0M07VXT/B LOWARA;1;Material No Valorado;CUMPLIDO;MR01;11;20/12/2024;13/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;2;0;;;;8000061939;1;1;PAPPELLA;20/12/2024;30/12/2024;8133;2 bultos-Jorge Aimi-223;FDEICAS;20/12/2024;4900289859;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;#N/D;#N/D;1032228223;223;
00223 Comp Amb Santa Fe;1000059336;10;ZPAS;Filtros;;0;;;;PBASILIO;1002516;FILTRO ACEITE XUN;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;1;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1002516;0;1002516223;223;
00223 Comp Amb Santa Fe;1000059336;20;ZPAS;Filtros;;0;;;;PBASILIO;1002532;FILTRO RESPIRADERO XUN;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;2;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1002532;0;1002532223;223;
00223 Comp Amb Santa Fe;1000059336;30;ZPAS;Filtros;;0;;;;PBASILIO;1002552;COMBUSTIBLE J.D. XUN;2;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;3;0;;;;8000062070;2;4;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900290846;2;PBASILIO;3/1/2025;8/1/2025;8/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1002552;0;1002552223;223;
00223 Comp Amb Santa Fe;1000059336;40;ZPAS;Filtros;;0;;;;PBASILIO;1002557;FILTRO COMBUSTIBLE XUN;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;4;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1002557;0;1002557223;223;
00223 Comp Amb Santa Fe;1000059336;50;ZPAS;Filtros;;0;;;;PBASILIO;1002569;FILTRO RESPIRADERO TANQUE HIDRAULICO XUN;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;5;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1002569;0;1002569223;223;
00223 Comp Amb Santa Fe;1000059336;60;ZPAS;Filtros;;0;;;;PBASILIO;1002612;FILTRO AIRE JOHN DEERE;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;6;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1002612;0;1002612223;223;
