CLIENTE;CLI;CLASE DE DOC;NRO. VA01/VA21;POS VA01/VA21;REF.CLIENTE;DOC. REF;PRIORIDAD;MOT. RECHAZO;INDICADOR DE BLOQUEO;FECHA DE BLOQUEO;OPERADOR DE VA;CODIGO ITEM;CANTIDAD SOLICITADA;TIPO DE ITEM;ESTADO ITEM;DESCRIPCION ITEM;CENTRO;PLAZO LOGISTICO;FECHA DE EMISION NECESIDAD;NRO. SOLPED;POS. SOLPED;REPARTOS;FECHA ENTREGA ESPERADA;FECHA EMISION SOLPED;NRO. OC;POS. OC;ALMACEN OC;Q CANT. OC;FECHA APROBACION SOLPED;FECHA EMISION OC;FECHA APROBACION FINAL OC;PRIMERA FECHA ENTREGA OC;FECHA ENTREGA OC;PROVEEDOR;ADJUDICADO EN OC;CANTIDAD PENDIENTE DE ADJUDICAR;CANTITAD TOTAL PENDIENTE RECEP.;CANTIDAD TOTAL RECEPCIONADA;NRO. RECEPCION;GRUPO DE COMPRA OC;FECHA RECEPCION;NRO POSICION RECEPCION 1;Q RECEP. DE OC;ALMACEN RECEPCION 1;OPERADOR RECEPCION;TEXTO COMENTARIO;NRO. VL;CANTIDAD PICKING;Q VL;FECHA SELLO;OPERADOR PICKING;FECHA PICKING;NRO DE CARGA;TXT CARGA;RESPONSABLE DE CARGA;FECHA CONTABILIZACION VL;NRO. ALMACENAMIENTO;CANTIDAD ALMACENADA;OPERADOR ALMACENAMIENTO;FECHA DE CARGA;FECHA ALMACENAMIENTO (LOGIN);FECHA DE ALMACENAMIENTO SELLO;NRO. CONSUMO;CANT. CONSUMO;FECHA CONSUMO;FECHA CUMPLIMIENTO FINAL UNIFICADA;dTIEMPO DE APROBACION SOLPED;dCOLOCACION OC;dTIEMPOS DE APROBACION OC;dENTREGA VA01/OC;dPRIMERA RECEPCIÓN - ENTREGA;dCAMION;Source.Name;dTRASLADO;dENTREGA AL CLIENTE;ENTREGADOS FT;dTIEMPO EMISION / ENTREGA;dPLAZO DE ENTREGA;dREGISTRO DE RECEPCION;dPICKING;dEMBALAJE;DIF_ENTREGA_SELLO;dALMACEN;dEXPEDICION;dREGISTRO DE ALMACENAMIENTO;OPERADOR PICKING ROSARIO;OPERADOR PICKING SJ;CARACTER DE GC;CARACTER ALMACEN RECEPCION 1;LIBERACION SOLPED CS;COLOCACION OC CS;LIBERACION OC CS;ENTREGA DEL PROVEEDOR CS;PLAZO DE ENTREGA EXCEDIDO CS;EXPEDICION CS;COLOCACION OC SEDE;LIBERACION OC SEDE;ENTREGA DEL PROVEEDOR SEDE;PLAZO DE ENTREGA EXCEDIDO SEDE;REGISTRO DE ALMACENAMIENTO OBRA;TRASLADO ALMACEN OBRA;TRASLADO CS;ALMACEN ROSARIO;ALMACEN SAN JUAN;REGISTRO DE RECEPCION ALMACEN ROSARIO;REGISTRO DE RECEPCION ALMACEN SAN JUAN;PICKING ALMACEN ROSARIO;PICKING ALMACEN SAN JUAN;EMBALAJE ALMACEN ROSARIO;EMBALAJE ALMACEN SAN JUAN;EXPEDICION ALMACEN OBRA;MES ENTREGA;COLOCACION OC EQUIPOS;LIBERACION OC EQUIPOS;ENTREGA DEL PROVEEDOR EQUIPOS;PLAZO DE ENTREGA EXCEDIDO EQUIPOS;COLOCACION OC AGV;LIBERACION OC AGV;ENTREGA DEL PROVEEDOR AGV;PLAZO DE ENTREGA EXCEDIDO AGV;ALMACEN OBRA;dPREPARACION;FECHAENTREGAMUYCERCANA;dTRANSPORTEyALM;PREPARACION;TRANSPORTEyALM;EQUIPOS MENORES;CADENA DE SUMINISTRO;ALMACÉN ;BLEN;COMPRAS;COMPRAS EQUIPOS;COMPRAS AGV;0
00223 Comp Amb Santa Fe;00223;ZPAN;1000058541;50;Pañol;;0;;;;PBASILIO;1011833;30;Materiales usuales;CUMPLIDO;PROTECTOR SOLAR CREMA FACTOR 70;MR01;11;9/12/2024;10111163;50;1;7/1/2025;9/12/2024;4500090287;10;2001;1;23/12/2024;26/12/2024;26/12/2024;3/1/2025;3/1/2025;CESCHIN GABRIELA ROSANA;30;0;0;30;5000120860;C28;2/1/2025;1;1;2001;FGORGONA;;8000062253;30;1;2/1/2025;FGORGONA;2/1/2025;8257;1 PM 223;PMATTIUSSI;7/1/2025;4900290847;30;PBASILIO;3/1/2025;8/1/2025;8/1/2025;;0;;8/1/2025;14;3;0;7;-1;4;;1;0;1;1;-7;0;0;1;5;1;4;0;1;0;SEDE;TRANSITORIO ROSARIO;12;;;;;1;;;;7;;;;;;;;;;;;;enero;;;;;;;;;;;;;;;;1;;1;1;;;3
00223 Comp Amb Santa Fe;00223;ZPAN;1000059151;10;Caudalimetro TQ Comb;;0;;;;PBASILIO;1012893;1;Materiales genericos;CUMPLIDO;CAUDALIMETRO TANQUE DE COMBUSTIBLE;MR01;11;19/12/2024;10111832;10;1;10/1/2025;19/12/2024;4500091164;10;2001;1;23/12/2024;13/1/2025;13/1/2025;20/1/2025;31/1/2025;GIMENEZ JUAN CRUZ;1;0;0;1;5000125259;C27;19/2/2025;1;1;2001;FGORGONA;;8000065067;1;1;19/2/2025;FGORGONA;19/2/2025;8893;BULTO 223 WP;WPUCHETA;24/2/2025;4900306854;1;PBASILIO;19/2/2025;5/3/2025;26/2/2025;4900306855;1;5/3/2025;26/2/2025;4;21;0;21;30;5;;2;7;1;54;-21;0;0;0;-40;0;5;7;1;0;SEDE;TRANSITORIO ROSARIO;2;;;;;1;16;;40;21;1;;;;;;;;;;;;enero;;;;;;;;;;;;;;;;1;;1;1;;;3
00223 Comp Amb Santa Fe;00223;ZPAN;1000059487;10;Cartucho Inspeccion;;0;;;;PBASILIO;1012722;4;Materiales genericos;CUMPLIDO;CARTUCHO LASER TONER NEGRO MOD L2320D;MR01;11;2/1/2025;10112426;10;1;21/1/2025;2/1/2025;4500090884;10;2200;1;3/1/2025;8/1/2025;8/1/2025;21/1/2025;17/1/2025;JAR COMPUTACION SRL;4;0;0;4;5000122262;C17;21/1/2025;1;3;2001;FGORGONA;;8000063100;4;1;20/1/2025;FGORGONA;21/1/2025;8452;1 BULTO 223;ALANDAVIDEA;22/1/2025;4900294533;4;PBASILIO;21/1/2025;22/1/2025;22/1/2025;4900294534;4;22/1/2025;22/1/2025;1;5;0;11;-1;1;;0;0;1;1;-11;1;0;0;1;1;1;0;1;0;SEDE;TRANSITORIO ROSARIO;;;;;;;;;;11;;;;;;;;;;;;;enero;;;;;;;;;;;;;;;;;;;1;;;1
00223 Comp Amb Santa Fe;00223;ZPAN;1000059970;10;Pedido pañol;;0;;;;PBASILIO;1012834;4;Materiales genericos;CUMPLIDO;CAMARA 17,5 R25;MR01;11;10/1/2025;10113092;10;1;30/1/2025;10/1/2025;4500091866;10;2001;1;14/1/2025;22/1/2025;22/1/2025;30/1/2025;30/1/2025;OSVALDO L.SANTILLI E HIJOS S.A;4;0;0;4;5000123236;C03;29/1/2025;1;1;2001;FGORGONA;;8000063742;4;1;29/1/2025;FGORGONA;29/1/2025;8611;1 223 AL;ALANDAVIDEA;6/2/2025;4900298774;4;PBASILIO;31/1/2025;6/2/2025;6/2/2025;4900298775;4;6/2/2025;6/2/2025;4;8;0;11;-1;6;;0;0;1;7;-11;0;0;2;1;2;6;0;1;0;EQUIPOS;TRANSITORIO ROSARIO;2;;;;;1;;;;;;;;;;;;;;;;;enero;3;;;11;;;;;;;;;;;;1;;1;;1;;3
00223 Comp Amb Santa Fe;00223;ZPAN;1000059970;20;Pedido pañol;;0;;;;PBASILIO;1012834;4;Materiales genericos;CUMPLIDO;PROTECTOR CAMARA 20-5 R25 P/PALA;MR01;11;10/1/2025;10113092;20;1;30/1/2025;10/1/2025;4500091866;20;2001;1;14/1/2025;22/1/2025;22/1/2025;30/1/2025;30/1/2025;OSVALDO L.SANTILLI E HIJOS S.A;4;0;0;4;5000123236;C03;29/1/2025;2;1;2001;FGORGONA;;8000063742;4;1;29/1/2025;FGORGONA;29/1/2025;8611;1 223 AL;ALANDAVIDEA;6/2/2025;4900298774;4;PBASILIO;31/1/2025;6/2/2025;6/2/2025;4900298775;4;6/2/2025;6/2/2025;4;8;0;11;-1;6;;0;0;1;7;-11;0;0;2;1;2;6;0;1;0;EQUIPOS;TRANSITORIO ROSARIO;2;;;;;1;;;;;;;;;;;;;;;;;enero;3;;;11;;;;;;;;;;;;1;;1;;1;;3
00223 Comp Amb Santa Fe;00223;ZPAS;1000060053;10;Filtros;;0;;;;PBASILIO;1000007;1;Materiales Stock;CUMPLIDO;ELEMENTO FILTRO DE CABINA;MR01;11;13/1/2025;;0;0;30/1/2025;;;0;;0;;;;;;;0;0;0;0;;;;1;0;0223;;;8000064054;1;2;;JMORENO;4/2/2025;8659;BULTO LN 223;LNASUTI;6/2/2025;4900299325;1;PBASILIO;4/2/2025;8/2/2025;6/2/2025;;0;;6/2/2025;0;0;0;0;0;2;;0;2;1;9;;;22;0;;22;2;2;1;0;PAÑOL;PROYECTO;;;;;;;;;;;1;;;14;;;;15;;;;;enero;;;;;;;;;14;;;;;;;1;1;;;;;2
00223 Comp Amb Santa Fe;00223;ZPAN;1000060311;10;Cubierta recapada;;0;;;;PBASILIO;1027862;2;Materiales Stock;CUMPLIDO;Cubierta 17,5 R25 RECAPADA;MR01;11;16/1/2025;10113515;10;1;5/2/2025;16/1/2025;4500094530;10;2001;1;27/2/2025;27/2/2025;27/2/2025;5/2/2025;5/2/2025;RECONSTRUCTORA UNION SA;2;0;0;2;5000126795;C03;11/3/2025;1;1;2001;RPEREZ;;8000070279;2;1;11/3/2025;PBASILIO;29/5/2025;;;;29/5/2025;4900330378;2;PBASILIO;;29/5/2025;14/3/2025;;0;;14/3/2025;42;0;0;11;34;0;;-76;0;1;0;-11;0;79;;-34;79;;76;0;0;EQUIPOS;TRANSITORIO ROSARIO;40;;;;;;;;;;1;;;75;;;;77;;;;;febrero;;;34;11;;;;;;;;;;;;1;1;;;1;;3
00223 Comp Amb Santa Fe;00223;ZPAN;1000060322;10;50017132;;0;;;;PBASILIO;1015947;1;Materiales genericos;CUMPLIDO;841400k111-LLAVE LUCES;MR01;11;16/1/2025;10113538;10;1;5/2/2025;16/1/2025;4500091877;10;2001;1;17/1/2025;22/1/2025;22/1/2025;5/2/2025;5/2/2025;GINZA S.A.;1;0;0;1;5000123387;C03;30/1/2025;1;1;2001;FGORGONA;;8000063838;1;1;30/1/2025;FGORGONA;30/1/2025;8659;BULTO LN 223;LNASUTI;6/2/2025;4900298771;1;PBASILIO;4/2/2025;6/2/2025;6/2/2025;4900298772;1;6/2/2025;6/2/2025;1;5;0;11;-6;2;;0;0;1;1;-11;0;0;5;6;5;2;0;1;0;EQUIPOS;TRANSITORIO ROSARIO;;;;;;;;;;;;;;1;;;;;;4;;;febrero;;;;11;;;;;;;;;;;;;1;;;1;;2
00223 Comp Amb Santa Fe;00223;ZPAN;1000060325;10;50017133;;0;;;;PBASILIO;1015947;1;Materiales genericos;CUMPLIDO;T452270-CORREA;MR01;11;16/1/2025;10113546;10;1;5/2/2025;16/1/2025;4500092084;40;2001;1;17/1/2025;24/1/2025;29/1/2025;;5/2/2025;AGRONORTE S.R.L.;1;0;0;1;5000124110;C03;7/2/2025;3;1;2001;FGORGONA;;8000064379;1;1;7/2/2025;FGORGONA;7/2/2025;8766;3BULTOS 223 AL;ALANDAVIDEA;24/2/2025;4900306875;1;PBASILIO;11/2/2025;5/3/2025;26/2/2025;4900306878;1;5/3/2025;26/2/2025;1;7;5;-739277;0;13;;2;7;1;28;-11;0;0;4;-2;4;13;7;1;0;EQUIPOS;TRANSITORIO ROSARIO;;;;;;1;;;;;1;;;;;;;;;;;;febrero;2;3;2;11;;;;;;;;;;;;1;;1;;1;;3
00223 Comp Amb Santa Fe;00223;ZPAN;1000060326;10;50017134;;0;;;;PBASILIO;1015947;1;Materiales genericos;CUMPLIDO;AT333680-SENSOR ANGULO RUEDA;MR01;11;16/1/2025;10113547;10;1;5/2/2025;16/1/2025;4500092084;20;2001;1;17/1/2025;24/1/2025;29/1/2025;5/2/2025;13/2/2025;AGRONORTE S.R.L.;1;0;0;1;5000125295;C03;20/2/2025;1;1;2001;FGORGONA;;8000065145;1;1;17/2/2025;FGORGONA;20/2/2025;8945;1 223 WP;WPUCHETA;25/2/2025;4900306834;1;PBASILIO;22/2/2025;5/3/2025;26/2/2025;4900306837;1;5/3/2025;26/2/2025;1;7;5;11;12;3;;1;7;1;28;-11;3;0;2;-12;5;3;7;1;0;EQUIPOS;TRANSITORIO ROSARIO;;;;;;1;;;;;1;;;1;;2;;;;1;;;febrero;2;3;12;11;;;;;;;;;;;;1;1;1;;1;;4
