Fecha;Obra;% disponibilidad;Cantidad items MM;Cantidad Stock Nulo;Cantidad Menor a PP;Cantidad Mayor a PP;Cantidad mayor a Stock Maximo;Verificacion;Coordinador
7/1/2025;00038 Fase 7 Veladero-MM;30%;1490;1039;0;76;375;Carga OK;
14/1/2025;00038 Fase 7 Veladero-MM;1%;1490;1490;0;0;0;Carga OK;FINALIZO
2/12/2024;00223 Comp Amb Santa Fe;99%;176;1;8;131;36;Carga OK;
9/12/2024;00223 Comp Amb Santa Fe;95%;176;9;5;127;35;Carga OK;
18/12/2024;00223 Comp Amb Santa Fe;100%;176;0;0;141;35;Carga OK;
23/12/2024;00223 Comp Amb Santa Fe;100%;176;0;0;141;35;Carga OK;
2/1/2025;00223 Comp Amb Santa Fe;93%;183;13;5;128;37;Carga OK;
7/1/2025;00223 Comp Amb Santa Fe;100%;183;0;3;143;37;Carga OK;
14/1/2025;00223 Comp Amb Santa Fe;100%;183;0;5;141;37;Carga OK;
21/1/2025;00223 Comp Amb Santa Fe;100%;182;0;0;144;38;Carga OK;
27/1/2025;00223 Comp Amb Santa Fe;99%;182;1;0;145;36;Carga OK;
3/2/2025;00223 Comp Amb Santa Fe;98%;183;4;3;140;36;Carga OK;
11/2/2025;00223 Comp Amb Santa Fe;99%;183;1;2;143;37;Carga OK;
18/2/2025;00223 Comp Amb Santa Fe;99%;183;1;2;143;37;Carga OK;
7/3/2025;00223 Comp Amb Santa Fe;97%;183;5;3;139;36;Carga OK;
12/3/2025;00223 Comp Amb Santa Fe;97%;183;6;3;138;36;Carga OK;
17/3/2025;00223 Comp Amb Santa Fe;97%;182;6;3;138;35;Carga OK;
31/3/2025;00223 Comp Amb Santa Fe;91%;183;17;5;126;35;Carga OK;
7/4/2025;00223 Comp Amb Santa Fe;86%;184;26;5;122;31;Carga OK;
14/4/2025;00223 Comp Amb Santa Fe;84%;214;35;18;129;32;Carga OK;
22/4/2025;00223 Comp Amb Santa Fe;84%;214;35;18;129;32;Carga OK;
20/5/2025;00223 Comp Amb Santa Fe;93%;217;16;25;149;27;Carga OK;
27/5/2025;00223 Comp Amb Santa Fe;93%;217;16;16;158;27;Carga OK;
2/6/2025;00223 Comp Amb Santa Fe;94%;217;13;21;156;27;Carga OK;
9/6/2025;00223 Comp Amb Santa Fe;92%;217;17;23;151;26;Carga OK;
23/6/2025;00223 Comp Amb Santa Fe;98%;217;5;17;168;27;Carga OK;
17/6/2025;00223 Comp Amb Santa Fe;92%;217;17;23;151;26;Carga OK;
30/6/2025;00223 Comp Amb Santa Fe;94%;216;12;32;146;26;Carga OK;
7/7/2025;00223 Comp Amb Santa Fe;93%;216;15;38;139;24;Carga OK;
15/7/2025;00223 Comp Amb Santa Fe;93%;213;15;36;139;23;Carga OK;
25/7/2025;00223 Comp Amb Santa Fe;92%;213;17;20;151;25;Carga OK;
12/8/2025;00223 Comp Amb Santa Fe;95%;209;10;21;154;24;Carga OK;
19/8/2025;00223 Comp Amb Santa Fe;96%;209;9;18;158;24;Carga OK;
26/8/2025;00223 Comp Amb Santa Fe;94%;209;12;20;153;24;Carga OK;
1/9/2025;00223 Comp Amb Santa Fe;97%;209;7;20;157;25;Carga OK;
8/9/2025;00223 Comp Amb Santa Fe;100%;209;1;14;170;24;Carga OK;
18/9/2025;00223 Comp Amb Santa Fe;92%;209;16;23;139;31;Carga OK;
24/9/2025;00223 Comp Amb Santa Fe;100%;207;1;11;166;29;Carga OK;
29/9/2025;00223 Comp Amb Santa Fe;98%;207;28;18;133;28;Carga OK;
6/10/2025;00223 Comp Amb Santa Fe;84%;201;32;16;129;24;Carga OK;
2/12/2024;00314 CASA Olavarría;99%;495;5;33;256;201;Carga OK;
9/12/2024;00314 CASA Olavarría;98%;495;8;30;267;190;Carga OK;
18/12/2024;00314 CASA Olavarría;99%;496;4;15;291;186;Carga OK;
