Cliente;Material;Tipo material;Texto breve de material;Nombre Fabricante;Numero Pieza de Fabricante;Centro área pl.nec.;Almacén;Caract.planif.nec.;Punto de pedido;Stock alm.máx.;Grupo de compras;Denominación GrpComp;Rubro;SubRubro;Unidad de peso;TIPO DOC;NRO. VA01/VA21;ESTADO ITEM;NRO. OC;FECHA RECEPCION;FECHA PICKING;FECHA CONTABILIZACION VL;FECHA ENTREGA ESPERADA;FECHA DE EMISION NECESIDAD;GRUPO DE COMPRA OC;NRO. SOLPED
00223 Comp Amb Santa Fe;1000007;ZSTO;ELEMENTO FILTRO DE CABINA;JOHN DEERE // JOHN DEERE;AT315957 // AT528017;MR01;223;V1;1;3;F05;FILTRO AIRE CABINA;FILTROS;TOPADOR JD 850;KG;ZPAS;1000087018;DESPACHADO;;;13/5/2026;23/5/2026;12/5/2026;21/4/2026;;
00223 Comp Amb Santa Fe;1001796;ZSTO;ACEITE MOTOR 2T X 1 LT;;;MR01;223;V1;1;2;C27;FERRETERIA MR01;LUBRICANTES;ACEITES;KG;ZPAS;1000088120;DESPACHADO;;;13/5/2026;23/5/2026;1/6/2026;11/5/2026;;
00223 Comp Amb Santa Fe;1002613;ZSTO;FILTRO AIRE;JOHN DEERE;AL150288;MR01;223;V1;2;5;F04;FILTRO AIRE;FILTROS;JD 6615;KG;ZPAS;1000084743;CUMPLIDO PARCIAL;;;18/3/2026;15/4/2026;7/4/2026;13/3/2026;;
00223 Comp Amb Santa Fe;1002621;ZSTO;FILTRO AIRE 1 XUN;JOHN DEERE;AT300487;MR01;223;V1;2;3;F04;FILTRO AIRE;FILTROS;JD. 544K;KG;ZPAS;1000088589;DESPACHADO;;;21/5/2026;23/5/2026;8/6/2026;18/5/2026;;
00223 Comp Amb Santa Fe;1002623;ZSTO;FILTRO AIRE 2 XUN;JOHN DEERE;AT314583;MR01;223;V1;2;3;F04;FILTRO AIRE;FILTROS;JOHN DEERE;KG;ZPAS;1000088589;DESPACHADO;;;21/5/2026;23/5/2026;8/6/2026;18/5/2026;;
00223 Comp Amb Santa Fe;1002932;ZSTO;FILTRO ACEITE;VOLVO CONS // VOLVO CONS;P21707132 // VOE477556;MR01;223;V1;4;8;F03;FILTRO ACEITE;FILTROS;VOLVO L260H;KG;ZPAS;1000088589;DESPACHADO;;;21/5/2026;23/5/2026;8/6/2026;18/5/2026;;
00223 Comp Amb Santa Fe;1003093;ZSTO;FILTRO DE COMBUSTIBLE;VOLVO CONS // VOLVO CONS;P22480372 // VOE15126069;MR01;223;V1;4;8;F06;FILTRO COMBUSTIBLE;FILTROS;VOLVO FM460;KG;ZPAS;1000088589;DESPACHADO;;;21/5/2026;23/5/2026;8/6/2026;18/5/2026;;
00223 Comp Amb Santa Fe;1003095;ZSTO;FILTRO TRAMPA DE AGUA COMBUSTIBLE;PARKER RAC //;21925732 // 23662435;MR01;223;V1;4;8;F13;FILTRO TRAMPA DE A;FILTROS;VOLVO FM460;KG;ZPAS;1000088589;DESPACHADO;;;21/5/2026;23/5/2026;8/6/2026;18/5/2026;;
00223 Comp Amb Santa Fe;1003096;ZSTO;FILTRO DE AIRE TANQUE DE COMBUSTIBLE;VOLVO CONS // DONALDSON;21743197 // P954869;MR01;223;V1;4;8;F06;FILTRO COMBUSTIBLE;FILTROS;VOLVO 330 // VOLVO FM460;KG;ZPAS;1000088589;DESPACHADO;;;21/5/2026;23/5/2026;8/6/2026;18/5/2026;;
00223 Comp Amb Santa Fe;1003097;ZSTO;FILTRO DE AIRE PRIMARIO;VOLVO CONS;21337557;MR01;223;V1;4;8;F04;FILTRO AIRE;FILTROS;VOLVO FM460;KG;ZPAS;1000088589;DESPACHADO;;;21/5/2026;23/5/2026;8/6/2026;18/5/2026;;
00223 Comp Amb Santa Fe;1003373;ZSTO;FILTROAIREACONDCABINAEXTERIORINTERIOR;VOLVO CONS;21758906;MR01;223;V1;2;5;F10;FILTRO HVAC;FILTROS;VOLVO FM460;KG;ZPAS;1000088589;DESPACHADO;;;21/5/2026;23/5/2026;8/6/2026;18/5/2026;;
00314 CASA Olavarría;1001794;ZSTO;ACEITE HIPOIDAL X 205L;YPF S.A. // YPF S.A.;80W90 // 123092;MM01;26;V1;1;2;L01;ACEITES;LUBRICANTES;ACEITES;KG;ZPAS;1000088521;DESPACHADO;;;18/5/2026;21/5/2026;1/6/2026;16/5/2026;;
