Cliente;Material;Tipo material;Texto breve de material;Nombre Fabricante;Numero Pieza de Fabricante;Centro área pl.nec.;Almacén;Caract.planif.nec.;Punto de pedido;Stock alm.máx.;Grupo de compras;Denominación GrpComp;Rubro;SubRubro;Unidad de peso;TIPO DOC;ESTADO ITEM;NRO. VA01/VA21;NRO. OC;FECHA RECEPCION;FECHA PICKING;FECHA CONTABILIZACION VL;FECHA ENTREGA ESPERADA;FECHA DE EMISION NECESIDAD;GRUPO DE COMPRA OC;NRO. SOLPED
00314 CASA Olavarría;1003445;ZSTO;TOMA FUERZA XUN;TER APLICA;ZF16S151 NEUM MULT Z15;MM01;26;RE;1;2;C29;FILTROS/RESPUESTOS;REPUESTOS;CAJA VOLCADORA - IVECO;KG;ZPAN;DESPACHADO;1000079142;4500115056;11/5/2026;11/5/2026;14/5/2026;22/4/2026;6/12/2025;C29;10137678
00314 CASA Olavarría;1003694;ZSTO;PIN STOP;DAEMO ENGI;B36610143;MM01;26;V1;1;3;C29;FILTROS/RESPUESTOS;REPUESTOS;DAEMO;KG;ZPAS;SIN TRATAMIENTO;1000081909;;;;;13/2/2026;28/1/2026;;
00314 CASA Olavarría;1004282;ZSTO;KIT SELLO MARTILLO;DAEMO ENGI;B36680041;MM01;26;RE;1;2;C29;FILTROS/RESPUESTOS;REPUESTOS;DAEMO B300;KG;ZPAN;RECEPCIONADO;1000084302;4500122305;30/4/2026;;;20/5/2026;6/3/2026;C29;10144761
00314 CASA Olavarría;1003742;ZSTO;COUMPLING SCREW;DAEMO ENGI;00605A0000002;MM01;26;RE;1;2;C29;FILTROS/RESPUESTOS;REPUESTOS;DAEMO B-Series;KG;ZPAN;RECEPCIONADO;1000084302;4500122305;30/4/2026;;;20/5/2026;6/3/2026;C29;10144761
00314 CASA Olavarría;1027112;ZSTO;COMPRESOR A/C;VOLVO TRUC;84472607;MM01;26;RE;1;2;C03;EQUIPOS;REPUESTOS;VOLVO 460 FMX;KG;ZPAN;SIN TRATAMIENTO;1000085727;;;;;14/4/2026;30/3/2026;;10146569
00314 CASA Olavarría;1055004;ZSTO;KIT PASTILLA DE FRENO -  F. RUTA HD465;;566-32-53221;MM01;26;V1;2;4;C03;EQUIPOS;REPUESTOS;?;KG;ZPAN;ADJUDICADO;1000085797;4500124213;;;;22/4/2026;31/3/2026;C03;10146657
00314 CASA Olavarría;1035247;ZSTO;MANGUERA;;561-02-12150;MM01;26;RE;1;1;C03;EQUIPOS;REPUESTOS;?;KG;ZPAN;EMBALADO;1000086013;4500124930;22/5/2026;22/5/2026;;19/4/2026;6/4/2026;C03;10146912
00314 CASA Olavarría;1003777;ZSTO;EJE DE VENTILADOR;KOMATSU HO;6245-81-6902;MM01;26;RE;1;2;C29;FILTROS/RESPUESTOS;REPUESTOS;D465-7EO;KG;ZPAN;EMBALADO;1000086244;4500125465;22/5/2026;22/5/2026;;24/4/2026;9/4/2026;C29;10147216
00314 CASA Olavarría;1004228;ZSTO;PLACA AGARRE DE PUNTA MARTILLO;DAEMO ENGI;B30610080;MM01;26;V1;1;4;C29;FILTROS/RESPUESTOS;REPUESTOS;DAEMO D300;KG;ZPAS;EMBALADO;1000086769;;;21/5/2026;;28/4/2026;17/4/2026;;
00314 CASA Olavarría;1035683;ZSTO;ALZA CRISTAL DERECHO;;56B-54-14361;MM01;26;RE;1;2;C03;EQUIPOS;REPUESTOS;KOMATSU HD785;KG;ZPAN;ADJUDICADO;1000087375;4500126606;;;;19/5/2026;28/4/2026;C03;10148743
00314 CASA Olavarría;1002070;ZSTO;CAMPERA DESCARNE T.XXL;;;MR01;314;V1;1;2;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;INDUMENTARIA;KG;ZPAS;SIN TRATAMIENTO;1000087377;;;;;13/5/2026;28/4/2026;;
00314 CASA Olavarría;1050448;ZSTO;BASE DE FILTRO;;354-8811;MM01;26;RE;1;1;C03;EQUIPOS;REPUESTOS;?;KG;ZPAN;ADJUDICADO;1000087399;4500126603;;;;12/5/2026;28/4/2026;C03;10148765
00314 CASA Olavarría;1003563;ZSTO;CORREA A A;CNH;504129824;MM01;26;RE;1;2;C29;FILTROS/RESPUESTOS;REPUESTOS;TRAKKER 380 Y 420 Y STRALIS;KG;ZPAN;ADJUDICADO;1000087423;4500126753;;;;13/5/2026;28/4/2026;C29;10148786
00314 CASA Olavarría;1003707;ZSTO;CORREA;CNH // No aplica;504049426 // 5802113881;MM01;26;RE;1;2;C29;FILTROS/RESPUESTOS;REPUESTOS;POLY V 12pk1835;KG;ZPAN;ADJUDICADO;1000087423;4500126628;;;;13/5/2026;28/4/2026;C29;10148786
00314 CASA Olavarría;1055695;ZSTO;TECLA LEVANTA CRISTAL;;426-56-21490;MM01;26;RE;1;2;C03;EQUIPOS;REPUESTOS;?;KG;ZPAN;ADJUDICADO;1000087522;4500126745;;;;20/5/2026;29/4/2026;C03;10148886
00314 CASA Olavarría;1022760;ZSTO;CONJUNTO PASADOR;;425-0275;MM01;26;RE;1;2;C03;EQUIPOS;?;?;KG;ZPAN;ADJUDICADO;1000087894;4500127076;;;;21/5/2026;6/5/2026;C03;10149446
00314 CASA Olavarría;1022978;ZSTO;ESPACIADOR;;7D-2955;MM01;26;RE;2;4;C03;EQUIPOS;?;?;KG;ZPAN;ADJUDICADO;1000087894;4500127076;;;;21/5/2026;6/5/2026;C03;10149446
00314 CASA Olavarría;1036503;ZSTO;ACTUADOR;;VOE 14523019;MM01;26;RE;1;2;C03;EQUIPOS;REPUESTOS;?;KG;ZPAN;DESPACHADO;1000088039;4500127284;20/5/2026;20/5/2026;21/5/2026;22/5/2026;8/5/2026;G05;10149639
00314 CASA Olavarría;1046952;ZSTO;BLANCIN;;VOE 11428146;MM01;26;RE;1;2;C03;EQUIPOS;REPUESTOS;?;KG;ZPAN;DESPACHADO;1000088039;4500127284;20/5/2026;20/5/2026;21/5/2026;22/5/2026;8/5/2026;G05;10149639
00223 Comp Amb Santa Fe;1001682;ZSTO;MAMEL. 1°CAL. DESC. LAMIN.BLANCO 60GR.XL;;FABRICANTE:DUPONT | MODELO:TYVEK 500;MR01;223;V1;4;9;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;INDUMENTARIA;KG;ZPAS;DESPACHADO;1000088120;;;13/5/2026;23/5/2026;1/6/2026;11/5/2026;;
00314 CASA Olavarría;1024299;ZSTO;ROTULA;;237-4156;MM01;26;RE;1;1;C03;EQUIPOS;REPUESTOS;?;KG;ZPAN;ADJUDICADO;1000088176;4500127569;;;;2/6/2026;12/5/2026;C03;10149878
00314 CASA Olavarría;1003832;ZSTO;RETEN MAZA TRASERA (SEC) TRAKKER 380;CNH;42127773;MM01;26;RE;1;2;C29;FILTROS/RESPUESTOS;REPUESTOS;IVECO;KG;ZPAN;DESPACHADO;1000088201;4500127721;19/5/2026;19/5/2026;21/5/2026;27/5/2026;12/5/2026;C29;10149938
00314 CASA Olavarría;1003565;ZSTO;RETEN CORTECO;CORTECO //;12011379B // 40000690;MM01;26;RE;1;2;C29;FILTROS/RESPUESTOS;REPUESTOS;IVECO TRAKKER T380;KG;ZPAN;DESPACHADO;1000088201;4500127721;19/5/2026;19/5/2026;21/5/2026;27/5/2026;12/5/2026;C29;10149938
