Entrega;Destinatario mcía.;Nombre destinatario de mercancías;Documento compras;Material;Descripción de posición;Posición;Cantidad entrega;Un.medida venta;Fe.prefer.entrega;Peso total;Unidad de peso;Volumen;Unidad de volumen;Fecha de creación de entrega;Estado de picking;Fecha de picking;Modificado el;Grupo;Fecha de creación;Creado por;Descripción;Fe.mov.mcía.real;Organización ventas;Categoría posición;Lote;Almacén;Centro;Prioridad de entrega;Estado de picking
8600007718;9000000033;00341 Mov. Suelos San Luis;1600007928;1013284;ANEMOMETRO;11;1;UN;20/3/2026;1;KG;0;DM3;20/3/2026;C;20/3/2026;;;;DBENITEZ;;;MLAP;ZDEQ;0000013430;MR04;MR01;0;C
8600007716;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007927;3925;MARTILLO HIDRAULICO;11;1;UN;15/3/2026;1;KG;0;DM3;20/3/2026;C;15/3/2026;;;;LAREVALO;;15/3/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007714;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007925;9101;CONTAINER OFICINA 12 MTS;11;1;UN;28/2/2026;1;KG;0;DM3;19/3/2026;C;28/2/2026;;;;LMANSILLA;;28/2/2026;MLAP;ZDEQ;;MR05;MR01;0;C
8600007710;9000000023;00314 CASA Olavarría;1600007920;6716;TORRE DE ILUMINACION WAKER NEUSON LTN 6L;11;1;UN;11/3/2026;1;KG;0;DM3;18/3/2026;C;11/3/2026;;;;ACEJAS;;11/3/2026;MLAP;ZDEQ;;MR05;MR01;0;C
8600007708;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007918;3318;COMPACTADOR BOMAG BW 213 DH-5;11;1;UN;2/3/2026;1;KG;0;DM3;17/3/2026;C;2/3/2026;;;;LAREVALO;;2/3/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007707;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007917;8210;TRACTOR AGRICOLA CASE FARMALL A-120 4X4;11;1;UN;28/2/2026;1;KG;0;DM3;17/3/2026;C;28/2/2026;;;;LAREVALO;;28/2/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007706;9000000033;00341 Mov. Suelos San Luis;1600007916;8114;CAMION VOLCADOR VOL VM 330 6X4 (17MTS3);11;1;UN;13/3/2026;10.200;KG;0;DM3;17/3/2026;C;13/3/2026;;;;ACEJAS;;13/3/2026;MLAP;ZDEQ;;MR05;MR01;0;C
8600007705;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007915;1013176;CALEFACTOR A EXPLOSION 600000170;11;1;UN;30/3/2026;1;KG;0;DM3;17/3/2026;C;30/3/2026;;;;ARIVERO;;;MLAP;ZDEQ;80839;MR07;MR01;0;C
8600007703;9000000023;00314 CASA Olavarría;1600007914;8115;CAMION VOLCADOR IVE TRAKKER 410 T 44 6X4;11;1;UN;11/3/2026;12.900;KG;0;DM3;16/3/2026;C;11/3/2026;;;;ACEJAS;;11/3/2026;MLAP;ZDEQ;;MR05;MR01;0;C
8600007702;9000000023;00314 CASA Olavarría;1600007913;8115;CAMION VOLCADOR IVE TRAKKER 410 T 44 6X4;11;1;UN;11/3/2026;12.900;KG;0;DM3;16/3/2026;C;11/3/2026;;;;ACEJAS;;11/3/2026;MLAP;ZDEQ;;MR05;MR01;0;C
8600007701;9000000033;00341 Mov. Suelos San Luis;1600007912;9102;CONTAINER OFICINA 6 MTS;11;1;UN;14/3/2026;1;KG;0;DM3;16/3/2026;C;14/3/2026;;;;ACEJAS;;14/3/2026;MLAP;ZDEQ;;MR05;MR01;0;C
8600007699;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007910;1013198;HORMIGONERA VOLTEO ELECTRICA 600000268;11;1;UN;30/3/2026;1;KG;0;DM3;16/3/2026;C;30/3/2026;;;;ARIVERO;;;MLAP;ZDEQ;LOTEINICIA;MR07;MR01;0;C
8600007698;9000000120;00368-YPF Acueducto TBH;1600007909;9105;CONTAINER COMEDOR 12 MTS;11;1;UN;10/3/2026;1;KG;0;DM3;16/3/2026;C;10/3/2026;;;;LMANSILLA;;10/3/2026;MLAP;ZDEQ;;MR05;MR01;0;C
8600007697;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007908;3942;PLACA COMPACTADORA DAEMO DMV230;11;1;UN;12/3/2026;1;KG;0;DM3;16/3/2026;C;12/3/2026;;;;LAREVALO;;12/3/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007696;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007907;3202;PLUMAS TEL. DIESEL HAULO. HT23RTJ (4X4);11;1;UN;9/3/2026;1;KG;0;DM3;16/3/2026;C;9/3/2026;;;;LAREVALO;;9/3/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007694;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007905;1013189;ELECTROFUSORA 600000538;11;1;UN;16/3/2026;1;KG;0;DM3;14/3/2026;C;30/3/2026;;;;ARIVERO;;;MLAP;ZDEQ;0000086927;MR07;MR01;0;C
8600007693;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007904;1021934;MARTILLO DEMOLEDOR 3;11;1;UN;16/3/2026;1;KG;0;DM3;14/3/2026;C;30/3/2026;;;;ARIVERO;;;MLAP;ZDEQ;0000007858;MR07;MR01;0;C
8600007692;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007903;1013246;VIBRADOR HB0 ELECTRICO 600000415;11;1;UN;16/3/2026;1;KG;0;DM3;14/3/2026;C;30/3/2026;;;;ARIVERO;;;MLAP;ZDEQ;LOTEINICIA;MR07;MR01;0;C
8600007692;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007903;1013246;VIBRADOR HB0 ELECTRICO 600000429;21;1;UN;16/3/2026;1;KG;0;DM3;14/3/2026;C;30/3/2026;;;;ARIVERO;;;MLAP;ZDEQ;LOTEINICIA;MR07;MR01;0;C
8600007692;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007903;1013246;VIBRADOR HB0 ELECTRICO 600000430;31;1;UN;16/3/2026;1;KG;0;DM3;14/3/2026;C;30/3/2026;;;;ARIVERO;;;MLAP;ZDEQ;LOTEINICIA;MR07;MR01;0;C
8600007691;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007902;1021934;MARTILLO DEMOLEDOR 2;11;1;UN;16/3/2026;1;KG;0;DM3;14/3/2026;C;30/3/2026;;;;ARIVERO;;;MLAP;ZDEQ;0000007858;MR07;MR01;0;C
8600007690;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007901;1013176;CALEFACTOR A EXPLOSION 600000179;11;1;UN;16/3/2026;1;KG;0;DM3;14/3/2026;C;30/3/2026;;;;ARIVERO;;;MLAP;ZDEQ;0000003755;MR07;MR01;0;C
8600007690;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007901;1013176;CALEFACTOR A EXPLOSION 600000184;21;1;UN;16/3/2026;1;KG;0;DM3;14/3/2026;C;30/3/2026;;;;ARIVERO;;;MLAP;ZDEQ;0000007763;MR07;MR01;0;C
8600007689;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007900;1013196;HORMIGONERA ELECTRICA 600000267;11;1;UN;30/3/2026;1;KG;0;DM3;14/3/2026;C;30/3/2026;16/3/2026;;;ARIVERO;;16/3/2026;MLAP;ZDEQ;LOTEINICIA;MR07;MR01;0;C
8600007689;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007900;1013198;HORMIGONERA VOLTEO ELECTRICA 600000573;21;1;UN;30/3/2026;1;KG;0;DM3;14/3/2026;C;30/3/2026;16/3/2026;;;ARIVERO;;16/3/2026;MLAP;ZDEQ;0000118457;MR07;MR01;0;C
8600007686;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007897;3318;COMPACTADOR BOMAG BW 213 DH-5;11;1;UN;9/3/2026;1;KG;0;DM3;12/3/2026;C;9/3/2026;;;;LMANSILLA;;9/3/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007685;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007896;3322;COMPACTADOR CAT 815K;11;1;UN;16/2/2026;1;KG;0;DM3;12/3/2026;C;16/2/2026;;;;LAREVALO;;16/2/2026;MLAP;ZDEQ;;MR07;MR01;0;C
